sku,name,url,price,categories,group_id,image_url,in_stock,keywords,annual_price,discount_pct,contract_length,energy_source,customer_type,plan_type,speed_mbps,data_allowance,green_energy_pct,promo_badge,rating,category_l1,category_l2,category_l3,description,features,image_url_secondary,on_sale,eco_aware,households_switched_30d,offer_ends_at,lng:es_ES:name,lng:es_ES:description,lng:es_ES:keywords
ELEC-GREEN-100,EcoFlex 100% Green Electricity,/plan/ELEC-GREEN-100,49.9,Energy|Electricity|Green Plans,ELEC-GREEN,https://images.unsplash.com/photo-1466611653911-95081537e5b7?auto=format&fit=crop&w=720&q=70,true,renewable|wind|solar|no commitment|household|carbon-neutral,539,15,No commitment,100% Renewable,Residential,Electricity,,,100,Best Seller,4.7,Electricity,Green Plans,Residential,"100% renewable electricity sourced from Spanish wind and solar farms. Lock in your rate, switch in 5 minutes, no setup fee. Includes the NovaPower app to track usage in real time.","Certified 100% renewable origin|No commitment, leave any time|Real-time usage in the NovaPower app|Free smart-meter installation",https://images.unsplash.com/photo-1518495973542-4542c06a5843?auto=format&fit=crop&w=720&q=70,true,true,4892,,EcoFlex Electricidad 100% Verde,"100% Renovable electricity sourced from Spanish wind and solar farms. Lock in your rate, Cambia en 5 minutos, no setup fee. Includes the NovaPower app to track usage in real time.",Renovable|wind|solar|Sin permanencia|household|carbon-neutral
ELEC-GREEN-50,EcoStart 50% Green Electricity,/plan/ELEC-GREEN-50,39.9,Energy|Electricity|Green Plans,ELEC-GREEN,https://images.unsplash.com/photo-1509391366360-2e959784a276?auto=format&fit=crop&w=720&q=70,true,renewable|partial green|no commitment|entry-level,430,,No commitment,50% Renewable,Residential,Electricity,,,50,New,4.4,Electricity,Green Plans,Residential,A greener entry-level plan. Half of every kWh comes from renewable sources.,50% renewable mix|No commitment|Free smart-meter install,,,true,1340,,EcoStart 50% Electricidad Verde,A greener entry-level Plan. Half of every kWh comes from Renovable sources.,Renovable|partial green|Sin permanencia|entry-level
ELEC-FLEX,FlexPower Standard Electricity,/plan/ELEC-FLEX,36.5,Energy|Electricity|Standard,ELEC-STD,https://images.unsplash.com/photo-1473308822086-710304d7d30c?auto=format&fit=crop&w=720&q=70,true,standard|monthly|flexible|no commitment,392,,No commitment,Standard mix,Residential,Electricity,,,,,4.2,Electricity,Standard,Residential,"A simple, flexible monthly plan. Pay for what you use, change any time.",Pay-as-you-go|No exit fee|Detailed monthly bill,,,,2210,,FlexPower Standard Electricity,"A simple, flexible monthly Plan. Pay for what you use, change any time.",standard|monthly|flexible|Sin permanencia
ELEC-FIXED-12,StablePrice Electricity — 12 months,/plan/ELEC-FIXED-12,42,Energy|Electricity|Fixed,ELEC-FIXED,https://images.unsplash.com/photo-1473308822086-710304d7d30c?auto=format&fit=crop&w=720&q=70,true,fixed price|12 months|predictable|residential,504,,12 months,Standard mix,Residential,Electricity,,,,,4.5,Electricity,Fixed,Residential,Lock in your rate for 12 months and protect yourself from price swings.,Fixed price for 12 months|No surprise bills|Switch online in 5 minutes,,,,1788,,StablePrice Electricity — 12 months,Lock in your rate for 12 months and protect yourself from price swings.,fixed price|12 months|predictable|residential
ELEC-FIXED-24,StablePrice Electricity — 24 months,/plan/ELEC-FIXED-24,39.5,Energy|Electricity|Fixed,ELEC-FIXED,https://images.unsplash.com/photo-1473308822086-710304d7d30c?auto=format&fit=crop&w=720&q=70,true,fixed price|24 months|long term|residential|savings,474,10,24 months,Standard mix,Residential,Electricity,,,,Limited Offer,4.6,Electricity,Fixed,Residential,Two years of stable pricing — our best fixed-rate plan for households.,Fixed for 24 months|10% loyalty discount|Free smart-meter install,,true,,970,2026-07-31,StablePrice Electricity — 24 months,Two years of stable pricing — our best fixed-rate Plan for households.,fixed price|24 months|long term|residential|savings
ELEC-NIGHT,NightSaver Off-Peak Electricity,/plan/ELEC-NIGHT,34.9,Energy|Electricity|Tariff,ELEC-STD,https://images.unsplash.com/photo-1473308822086-710304d7d30c?auto=format&fit=crop&w=720&q=70,true,off-peak|night|EV charging|smart meter|residential,419,,12 months,Standard mix,Residential,Electricity,,,,,4.4,Electricity,Tariff,,Cheaper electricity from 22:00 to 08:00. Perfect for EV owners and heat pumps.,50% cheaper at night|Smart meter required|Best for EV charging,,,,612,,NightSaver Off-Peak Electricity,Cheaper electricity from 22:00 to 08:00. Perfect for EV owners and heat pumps.,off-peak|night|EV charging|smart meter|residential
ELEC-BIZ-S,NovaPower Business — Small,/plan/ELEC-BIZ-S,79,Energy|Electricity|Business,ELEC-BIZ,https://images.unsplash.com/photo-1497366216548-37526070297c?auto=format&fit=crop&w=720&q=70,true,business|small office|fixed price|dedicated support,948,,12 months,Standard mix,Business,Electricity,,,,,4.5,Electricity,Business,,Built for shops and small offices up to 15 kW. Dedicated business support line.,Up to 15 kW|Dedicated support|Custom invoicing,,,,305,,NovaPower Business — Small,Built for shops and small offices up to 15 kW. Dedicated business support line.,business|small office|fixed price|dedicated support
ELEC-BIZ-L,NovaPower Business — Industrial,/plan/ELEC-BIZ-L,249,Energy|Electricity|Business,ELEC-BIZ,https://images.unsplash.com/photo-1497366216548-37526070297c?auto=format&fit=crop&w=720&q=70,true,business|industrial|high consumption|account manager,2988,,24 months,Standard mix,Business,Electricity,,,,,4.3,Electricity,Business,,For warehouses and light industrial sites with consumption above 50 kW.,50 kW+|Personal account manager|Quarterly review,,,,78,,NovaPower Business — Industrial,For warehouses and light industrial sites with consumption above 50 kW.,business|industrial|high consumption|account manager
GAS-FIXED-12,WarmHome Gas — 12 months,/plan/GAS-FIXED-12,32.5,Energy|Gas|Fixed,GAS-FIXED,https://images.unsplash.com/photo-1605000797499-95a51c5269ae?auto=format&fit=crop&w=720&q=70,true,natural gas|fixed price|residential|heating,390,,12 months,,Residential,Gas,,,,,4.3,Gas,Fixed,,A predictable gas bill for one year. Ideal for households with central heating.,Fixed for 12 months|Free boiler check (1st year)|24/7 emergency line,,,,1102,,WarmHome Gas — 12 months,A predictable gas bill for one year. Ideal for households with central heating.,natural gas|fixed price|residential|heating
GAS-FIXED-24,WarmHome Gas — 24 months,/plan/GAS-FIXED-24,29.9,Energy|Gas|Fixed,GAS-FIXED,https://images.unsplash.com/photo-1605000797499-95a51c5269ae?auto=format&fit=crop&w=720&q=70,true,natural gas|fixed price|long term|savings,358,8,24 months,,Residential,Gas,,,,Most Popular,4.5,Gas,Fixed,,Lock in two years of stable gas pricing.,Fixed 24 months|8% loyalty discount|Free boiler check (annual),,,,1456,,WarmHome Gas — 24 months,Lock in two years of stable gas pricing.,natural gas|fixed price|long term|savings
GAS-FLEX,FlexHeat Standard Gas,/plan/GAS-FLEX,27.9,Energy|Gas|Standard,GAS-STD,https://images.unsplash.com/photo-1605000797499-95a51c5269ae?auto=format&fit=crop&w=720&q=70,true,gas|monthly|flexible|no commitment,335,,No commitment,,Residential,Gas,,,,,4.1,Gas,Standard,,A no-commitment gas plan. Great if you may move soon.,Pay-as-you-go|No exit fee|Switch in 5 minutes,,,,720,,FlexHeat Standard Gas,A no-commitment gas Plan. Great if you may move soon.,gas|monthly|flexible|Sin permanencia
GAS-ECO,BioGas — Carbon-Offset Plan,/plan/GAS-ECO,34.9,Energy|Gas|Green Plans,GAS-ECO,https://images.unsplash.com/photo-1518495973542-4542c06a5843?auto=format&fit=crop&w=720&q=70,true,biogas|offset|sustainable|certified|residential,419,,12 months,,Residential,Gas,,,,Eco,4.6,Gas,Green Plans,,Biomethane + verified carbon offsets for every kWh you use.,Verified biomethane|Carbon offsets included|Annual sustainability report,,,true,487,,BioGas — Carbon-Offset Plan,Biomethane + verified carbon offsets for every kWh you use.,biogas|offset|sustainable|certified|residential
GAS-BIZ,NovaPower Business Gas,/plan/GAS-BIZ,119,Energy|Gas|Business,GAS-BIZ,https://images.unsplash.com/photo-1497366216548-37526070297c?auto=format&fit=crop&w=720&q=70,true,business|gas|fixed|dedicated support,1428,,12 months,,Business,Gas,,,,,4.2,Gas,Business,,"Predictable gas pricing for restaurants, hotels, and small industrial sites.",Fixed for 12 months|Business support line|Custom billing cycle,,,,134,,NovaPower Business Gas,"Predictable gas pricing for restaurants, hotels, and small industrial sites.",business|gas|fixed|dedicated support
FIBER-300,NovaFiber 300 Mb,/plan/FIBER-300,24.99,Connectivity|Broadband|Fiber,FIBER,https://images.unsplash.com/photo-1551703599-6b3e8379aa8d?auto=format&fit=crop&w=720&q=70,true,fiber|broadband|home wifi|symmetric|300mb,299.88,,12 months,,Residential,Broadband,300,,,,4.4,Broadband,Fiber,,Symmetric 300 Mb fiber for everyday streaming and home office. Wi-Fi 6 router included.,Symmetric 300/300 Mb|Wi-Fi 6 router included|Free installation,https://images.unsplash.com/photo-1518770660439-4636190af475?auto=format&fit=crop&w=720&q=70,,,2840,,NovaFibra 300 Mb,Symmetric 300 Mb Fibra for everyday streaming and home office. Wi-Fi 6 router included.,Fibra|broadband|home wifi|symmetric|300mb
FIBER-600,NovaFiber 600 Mb,/plan/FIBER-600,29.99,Connectivity|Broadband|Fiber,FIBER,https://images.unsplash.com/photo-1551703599-6b3e8379aa8d?auto=format&fit=crop&w=720&q=70,true,fiber|broadband|home wifi|symmetric|600mb|gaming,359.88,,12 months,,Residential,Broadband,600,,,Best Seller,4.6,Broadband,Fiber,,"Our most popular plan. Symmetric 600 Mb, perfect for streaming, gaming and remote work.",Symmetric 600/600 Mb|Wi-Fi 6 router|Mesh kit available|Free install,,,,5210,,NovaFibra 600 Mb,"Our Más popular Plan. Symmetric 600 Mb, perfect for streaming, gaming and remote work.",Fibra|broadband|home wifi|symmetric|600mb|gaming
FIBER-1G,NovaFiber 1 Gigabit,/plan/FIBER-1G,39.99,Connectivity|Broadband|Fiber,FIBER,https://images.unsplash.com/photo-1551703599-6b3e8379aa8d?auto=format&fit=crop&w=720&q=70,true,fiber|gigabit|broadband|premium|streaming|gaming,479.88,,12 months,,Residential,Broadband,1000,,,Most Popular,4.7,Broadband,Fiber,,"Gigabit fiber for power users, large households, and 4K streaming.",Symmetric 1 Gb/s|Wi-Fi 6E router|Free mesh kit|Priority support,,,,3104,,NovaFibra 1 Gigabit,"Gigabit Fibra for power users, large households, and 4K streaming.",Fibra|gigabit|broadband|premium|streaming|gaming
FIBER-2G,NovaFiber 2 Gigabit Pro,/plan/FIBER-2G,54.99,Connectivity|Broadband|Fiber,FIBER,https://images.unsplash.com/photo-1551703599-6b3e8379aa8d?auto=format&fit=crop&w=720&q=70,true,fiber|2 gigabit|premium|professional|max speed,659.88,,24 months,,Both,Broadband,2000,,,,4.8,Broadband,Fiber,,The fastest residential plan in our lineup. 2 Gb/s symmetric. Wi-Fi 7 router.,Symmetric 2 Gb/s|Wi-Fi 7 router|Static IPv4 included|24/7 priority line,,,,412,,NovaFibra 2 Gigabit Pro,The fastest residential Plan in our lineup. 2 Gb/s symmetric. Wi-Fi 7 router.,Fibra|2 gigabit|premium|professional|max speed
FIBER-100,NovaFiber 100 Mb Lite,/plan/FIBER-100,19.99,Connectivity|Broadband|Fiber,FIBER,https://images.unsplash.com/photo-1551703599-6b3e8379aa8d?auto=format&fit=crop&w=720&q=70,true,fiber|broadband|entry|cheap|browsing,239.88,,12 months,,Residential,Broadband,100,,,,4.0,Broadband,Fiber,,"Budget-friendly fiber for browsing, email, and HD streaming.",Symmetric 100/100 Mb|Wi-Fi 5 router|No setup fee,,,,1820,,NovaFibra 100 Mb Lite,"Budget-friendly Fibra for browsing, email, and HD streaming.",Fibra|broadband|entry|cheap|browsing
FIBER-BIZ,NovaFiber Business 1 Gb,/plan/FIBER-BIZ,59,Connectivity|Broadband|Business,FIBER-BIZ,https://images.unsplash.com/photo-1497366216548-37526070297c?auto=format&fit=crop&w=720&q=70,true,business|fiber|gigabit|static IP|SLA|professional,708,,24 months,,Business,Broadband,1000,,,New,4.5,Broadband,Business,,"Gigabit fiber with SLA, static IP and 4-hour repair guarantee.",Symmetric 1 Gb/s|Static IP|99.9% uptime SLA|4-hour repair,,,,198,,NovaFibra Business 1 Gb,"Gigabit Fibra with SLA, static IP and 4-hour repair guarantee.",business|Fibra|gigabit|static IP|SLA|professional
FIBER-PRO,NovaFiber Pro 10 Gb (Enterprise),/plan/FIBER-PRO,199,Connectivity|Broadband|Business,FIBER-BIZ,https://images.unsplash.com/photo-1497366216548-37526070297c?auto=format&fit=crop&w=720&q=70,false,enterprise|10 gigabit|dedicated|datacenter|SLA,2388,,36 months,,Business,Broadband,10000,,,,4.6,Broadband,Business,,Dedicated 10 Gb/s symmetric for offices and data-intensive workloads.,10 Gb/s dedicated|Account manager|1-hour repair SLA|BGP support,,,,14,,NovaFibra Pro 10 Gb (Enterprise),Dedicated 10 Gb/s symmetric for offices and data-intensive workloads.,enterprise|10 gigabit|dedicated|datacenter|SLA
MOB-PRE-5,NovaMobile Prepaid 5 GB,/plan/MOB-PRE-5,7.99,Connectivity|Mobile|Prepaid,MOB-PRE,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=720&q=70,true,mobile|prepaid|5gb|no commitment|sim,95.88,,No commitment,,Residential,Mobile,,5GB,,,4.1,Mobile,Prepaid,,Top up monthly. 5 GB of data + unlimited calls within Spain.,5 GB / month|Unlimited calls|No contract|Free SIM,,,,1740,,NovaMóvil Prepaid 5 GB,Top up monthly. 5 GB of data + unlimited calls within Spain.,Móvil|prepaid|5gb|Sin permanencia|sim
MOB-PRE-15,NovaMobile Prepaid 15 GB,/plan/MOB-PRE-15,11.99,Connectivity|Mobile|Prepaid,MOB-PRE,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=720&q=70,true,mobile|prepaid|15gb|no commitment|sim,143.88,,No commitment,,Residential,Mobile,,15GB,,,4.2,Mobile,Prepaid,,"More data, no contract. 15 GB + unlimited calls.",15 GB / month|Unlimited calls|5G ready|EU roaming included,,,,1330,,NovaMóvil Prepaid 15 GB,"More data, no contract. 15 GB + unlimited calls.",Móvil|prepaid|15gb|Sin permanencia|sim
MOB-CON-25,NovaMobile 25 GB Contract,/plan/MOB-CON-25,14.99,Connectivity|Mobile|Contract,MOB-CON,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=720&q=70,true,mobile|contract|25gb|5g|household,179.88,,12 months,,Residential,Mobile,,25GB,,Best Seller,4.5,Mobile,Contract,,5G mobile plan with 25 GB and unlimited calls. Loyalty discount with NovaFiber.,25 GB / month|5G included|Free EU roaming|−5 € when bundled with fiber,,,,3960,,NovaMóvil 25 GB Contract,5G Móvil Plan with 25 GB and unlimited calls. Loyalty discount with NovaFibra.,Móvil|contract|25gb|5g|household
MOB-CON-50,NovaMobile 50 GB Contract,/plan/MOB-CON-50,19.99,Connectivity|Mobile|Contract,MOB-CON,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=720&q=70,true,mobile|contract|50gb|5g|hotspot,239.88,,12 months,,Residential,Mobile,,50GB,,,4.5,Mobile,Contract,,"Twice the data, same low price. 5G + hotspot allowance.",50 GB / month|5G included|Mobile hotspot|EU roaming,,,,2630,,NovaMóvil 50 GB Contract,"Twice the data, same low price. 5G + hotspot allowance.",Móvil|contract|50gb|5g|hotspot
MOB-UNL,NovaMobile Unlimited,/plan/MOB-UNL,29.99,Connectivity|Mobile|Contract,MOB-CON,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=720&q=70,true,mobile|unlimited|5g|premium|streaming,359.88,,12 months,,Residential,Mobile,,Unlimited,,Most Popular,4.7,Mobile,Contract,,"Unlimited 5G data. Stream, work, and travel without watching the meter.",Unlimited 5G|Free streaming pass|Worldwide roaming included|Hotspot 50 GB,,,,1820,,NovaMóvil Unlimited,"Unlimited 5G data. Stream, work, and travel without watching the meter.",Móvil|unlimited|5g|premium|streaming
MOB-FAM-100,"NovaMobile Family — 4 lines, 100 GB",/plan/MOB-FAM-100,49,Connectivity|Mobile|Family,MOB-FAM,https://images.unsplash.com/photo-1543269865-cbf427effbad?auto=format&fit=crop&w=720&q=70,true,mobile|family|4 lines|shared data|kids,588,20,12 months,,Residential,Mobile,,100GB,,Limited Offer,4.6,Mobile,Family,,"4 SIMs, 100 GB shared data, parental controls included.",4 lines|100 GB shared|Parental controls|Kids-safe filter free,,true,,880,2026-08-15,"NovaMóvil Familia — 4 lines, 100 GB","4 SIMs, 100 GB shared data, parental controls included.",Móvil|family|4 lines|shared data|kids
MOB-BIZ,NovaMobile Business Pro,/plan/MOB-BIZ,24,Connectivity|Mobile|Business,MOB-BIZ,https://images.unsplash.com/photo-1497366216548-37526070297c?auto=format&fit=crop&w=720&q=70,true,mobile|business|esim|priority|expense,288,,24 months,,Business,Mobile,,60GB,,,4.4,Mobile,Business,,eSIM-ready business mobile with expense reports and priority network access.,eSIM ready|60 GB / line|Priority network|Monthly expense report,,,,256,,NovaMóvil Business Pro,eSIM-ready business Móvil with expense reports and priority network access.,Móvil|business|esim|priority|expense
MOB-ESIM,NovaMobile Travel eSIM,/plan/MOB-ESIM,9.99,Connectivity|Mobile|Prepaid,MOB-PRE,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=720&q=70,true,esim|travel|tourist|short term|data only,119.88,,No commitment,,Residential,Mobile,,20GB,,New,4.3,Mobile,Prepaid,,Activate in 90 seconds. 20 GB data eSIM with EU + 60 countries coverage.,Instant eSIM|20 GB / month|EU + 60 countries|Cancel any time,,,,612,,NovaMóvil Travel eSIM,Activate in 90 seconds. 20 GB data eSIM with EU + 60 countries coverage.,esim|travel|tourist|short term|data only
BND-DUAL-EG,NovaPower Dual — Electricity + Gas,/plan/BND-DUAL-EG,69,Bundles|Energy|Dual,BND-DUAL-EG,https://images.unsplash.com/photo-1473308822086-710304d7d30c?auto=format&fit=crop&w=720&q=70,true,bundle|dual fuel|electricity|gas|savings|residential,828,10,12 months,,Residential,Bundle,,,,Best Seller,4.6,Bundles,Dual Fuel,,"Save 10% on your electricity and gas when bundled. One bill, one app.",Electricity + Gas|10% bundle discount|Single monthly bill|NovaPower app,,,,2960,,NovaPower Dual — Electricity + Gas,"Save 10% on your electricity and gas when Packd. One bill, one app.",Pack|dual fuel|electricity|gas|savings|residential
BND-DUAL-FM,NovaConnect — Fiber 600 + Mobile 25 GB,/plan/BND-DUAL-FM,39.99,Bundles|Connectivity|Dual,BND-DUAL-FM,https://images.unsplash.com/photo-1518770660439-4636190af475?auto=format&fit=crop&w=720&q=70,true,bundle|fiber|mobile|dual|connectivity|household,479.88,20,12 months,,Residential,Bundle,600,25GB,,Most Popular,4.7,Bundles,Connectivity,,Fiber 600 Mb + mobile 25 GB on 5G. Save 20% vs. buying separately.,Fiber 600 Mb|Mobile 25 GB 5G|20% bundle discount|Wi-Fi 6 router included,,,,4120,,NovaConnect — Fibra 600 + Móvil 25 GB,Fibra 600 Mb + Móvil 25 GB on 5G. Save 20% vs. buying separately.,Pack|Fibra|Móvil|dual|connectivity|household
BND-TRIPLE,NovaTotal — Electricity + Fiber + Mobile,/plan/BND-TRIPLE,79.99,Bundles|All-in-one|Triple,BND-TRIPLE,https://images.unsplash.com/photo-1558002038-1055907df827?auto=format&fit=crop&w=720&q=70,true,bundle|triple|all-in-one|electricity|fiber|mobile,959.88,25,12 months,,Residential,Bundle,,,,Limited Offer,4.8,Bundles,Triple Play,,Everything you need in one place. Save 25% vs. buying each service separately.,Electricity (FlexPower)|Fiber 600 Mb|Mobile 25 GB 5G|25% bundle discount,,true,,2240,2026-09-01,NovaTotal — Electricity + Fibra + Móvil,Everything you need in one place. Save 25% vs. buying each service separately.,Pack|triple|all-in-one|electricity|Fibra|Móvil
BND-QUAD,NovaTotal Plus — Electricity + Gas + Fiber + Mobile,/plan/BND-QUAD,109.99,Bundles|All-in-one|Quad,BND-QUAD,https://images.unsplash.com/photo-1558002038-1055907df827?auto=format&fit=crop&w=720&q=70,true,bundle|quad|all-in-one|maximum savings,1319.88,30,12 months,,Residential,Bundle,,,,Most Popular,4.8,Bundles,All-in-one,,Our best value: every service in one bill. Save up to 30%.,Electricity + Gas|Fiber + Mobile|30% bundle discount|Priority support,,,,1180,,NovaTotal Plus — Electricity + Gas + Fibra + Móvil,Our best value: every service in one bill. Ahorra hasta un 30%.,Pack|quad|all-in-one|maximum savings
BND-FAMILY,NovaFamily — Fiber 1 Gb + 4 Mobile lines,/plan/BND-FAMILY,64.99,Bundles|Connectivity|Family,BND-DUAL-FM,https://images.unsplash.com/photo-1543269865-cbf427effbad?auto=format&fit=crop&w=720&q=70,true,bundle|family|fiber|4 lines|kids|savings,779.88,22,12 months,,Residential,Bundle,1000,,,,4.7,Bundles,Connectivity,,Built for families. Gigabit fiber + 4 mobile lines + parental controls.,Gigabit fiber|4 mobile lines (100 GB shared)|Parental controls|Mesh kit,,,,940,,NovaFamily — Fibra 1 Gb + 4 Móvil lines,Built for families. Gigabit Fibra + 4 Móvil lines + parental controls.,Pack|family|Fibra|4 lines|kids|savings
BND-WORK,NovaWork — Business Fiber + 3 Mobile lines,/plan/BND-WORK,79,Bundles|Business|Connectivity,BND-WORK,https://images.unsplash.com/photo-1497366216548-37526070297c?auto=format&fit=crop&w=720&q=70,true,business|bundle|fiber|mobile|small office,948,18,24 months,,Business,Bundle,1000,,,,4.5,Bundles,Business,,"Small-office bundle: business gigabit fiber + 3 lines, account manager included.",Gigabit business fiber|3 mobile lines 60 GB|Static IP|Account manager,,,,188,,NovaWork — Business Fibra + 3 Móvil lines,"Small-office Pack: business gigabit Fibra + 3 lines, account manager included.",business|Pack|Fibra|Móvil|small office
BND-GREEN,NovaGreen — 100% Renewable Bundle,/plan/BND-GREEN,84.9,Bundles|Energy|Green Plans,BND-GREEN,https://images.unsplash.com/photo-1518495973542-4542c06a5843?auto=format&fit=crop&w=720&q=70,true,green|bundle|sustainable|carbon neutral|certified,1018.8,12,12 months,,Residential,Bundle,,,100,Eco,4.7,Bundles,Green,,100% renewable electricity + carbon-offset gas + fiber. Made for climate-conscious homes.,100% renewable electricity|Carbon-offset gas|Fiber 600 Mb|Annual sustainability report,,,true,720,,NovaGreen — 100% Renovable Pack,100% Renovable electricity + carbon-offset gas + Fibra. Made for climate-conscious homes.,green|Pack|sustainable|carbon neutral|certified
